company_name,website,linkedin_url,industry,location,employees,has_funding
Quess Crop,https://www.quesscorp.com,https://www.linkedin.com/company/quess-corp/,Staffing and Recruiting,Mumbai,10000+,yes
Udaan,https://www.udaan.com,https://www.linkedin.com/company/udaan/,Logistics ,Mumbai,1000-5000,yes
Swiggy,https://www.swiggy.com,https://www.linkedin.com/company/swiggy-in/,Logistics,Mumbai,10000+,yes
Delhivery,https://www.delhivery.com,https://www.linkedin.com/company/delhivery/,Logistics and Supply Chain,Mumbai,10000+,yes
Ecom Express,https://www.ecomexpress.in,https://www.linkedin.com/company/ecom-express-ltd/,Logistics and Supply Chain,Mumbai,10000+,yes
Rivigo,https://www.rivigo.com,https://www.linkedin.com/company/rivigo/,Logistics and Supply Chain,Mumbai,1000-5000,yes
Safeexpress,https://www.safexpress.com,https://www.linkedin.com/company/safexpress-pvt-ltd/,Logistics and Supply Chain,Mumbai,1000-5000,no
DHL Supply Chain,https://www.dhl.com,https://www.linkedin.com/company/dhl-supply-chain/,Logistics and Supply Chain,Nagpur,10000+,no
TVS Supply Chain Solutions,https://www.tvsscs.com,https://www.linkedin.com/company/tvs-supply-chain-solutions-corporate/,Logistics and Supply Chain,Mumbai,10000+,yes
Blue Dart,https://www.bluedart.com,https://www.linkedin.com/company/bluedart/,Logistics and Supply Chain,Mumbai,10000+,no
Shree Infotech,https://www.shreeinfotech.net,https://www.linkedin.com/company/shree-infotech/,IT Services,Pune,11-50,no
Sankalp,https://www.sankalptechnologies.com,https://www.linkedin.com/company/sankalp-technologies/,IT Services and Consulting,Pune,51-200,no
Brightlink Info Technologies,https://www.brightlinkinfotech.com,https://www.linkedin.com/company/brightlink-info-technologies-pvt-ltd/,IT Services and Consulting,Pune,51-200,no
Techlia Global Services,https://www.techilaservices.com,https://www.linkedin.com/company/techila-global-services/,IT Services,Mumbai,1000-5000,no
Suma Soft,https://www.sumasoft.com,https://www.linkedin.com/company/suma-soft-pvt-ltd/,IT Services and Consulting,Pune,1000-5000,no
NeoSOFT,https://www.neosofttech.com,https://www.linkedin.com/company/neosoft-technologies/,IT Services and Consulting,Mumbai,1000-5000,no
Sphinx Solutions,https://www.sphinx-solution.com,https://www.linkedin.com/company/sphinx-solution/,IT Services and Consulting,Pune,201-500,no
Coditas,https://www.coditas.com,https://www.linkedin.com/company/coditas/,IT Services and Consulting,Pune,501-1000,no
Josh Software,https://www.joshsoftware.com,https://www.linkedin.com/company/josh-software/,IT Services and Consulting,Pune,201-500,no
Intangles,https://www.intangles.ai,https://www.linkedin.com/company/intangles/,"Technology, Information and Internet",Pune,201-500,yes
SK Logistics,https://skgroup.one,https://www.linkedin.com/company/sklogistics/,Logistics and Supply Chain,Bhiwandi,51-200,no
ARK Supply Chain,https://arksupplychain.com,https://www.linkedin.com/company/ark-supply-chain-solutions-pvt-ltd/,Logistics and Supply Chain,Mumbai,501-1000,no
OM Software,https://www.omsoftware.net,https://www.linkedin.com/company/om-software-pvt-ltd/,IT Services and Consulting,Pune,51-200,no
Parekh Group,https://www.parekhgroup.in,https://www.linkedin.com/company/parekh-group/,Logistics and Supply Chain,Mumbai,1000-5000,no
Kale Logistics Solutions,https://www.kalelogistics.com,https://www.linkedin.com/company/kale-logistics-solutions/,Logistics and Supply Chain,Mumbai,201-500,yes
Magenta Mobility,https://magentamobility.com/,https://www.linkedin.com/company/magentamobility,Logistics and Supply Chain,Mumbai,201-500,yes
Celcius Logistics,https://celcius.in/,https://www.linkedin.com/company/celcius-logistics/,Logistics and Supply Chain,Mumbai,51-200,yes
Globus Logisys,http://www.globuslogisys.com/,https://www.linkedin.com/company/globus-logisys-pvt-ltd/,Logistics and Supply Chain,Mumbai,201-500,no
Lee & Muirhead,https://www.lee-muirhead.com/,https://www.linkedin.com/company/lee-&-muirhead-pvt-ltd/,Logistics and Supply Chain,Mumbai,501-1000,no
Liladhar Pasoo,https://www.liladharpasoo.com/,https://www.linkedin.com/company/liladhar-pasoo/,Logistics and Supply Chain,Mumbai,501-1000,no
Unbox Robotics,https://unboxrobotics.com/,https://www.linkedin.com/company/unbox-robotics,Automation Machinery Manufacturing,Pune,51-200,yes
iThink Logistics,https://ithinklogistics.com/,https://www.linkedin.com/company/ithink-logistics,Logistics and Supply Chain,Mumbai,51-200,no
Emiza,https://emizainc.com/,https://www.linkedin.com/company/emiza-supply-chain-services/,Logistics and Supply Chain,Mumbai,1000-5000,yes
Smartr Logistics,https://smartr.in/,https://www.linkedin.com/company/smartrlogistics/,Logistics and Supply Chain,Mumbai,501-1000,yes
